880,154575,806000,0924-00-00
762,154609,358000,0924-00-00
655,154629,514800,0924-00-00
2012,210169,806000,0924-00-01
2191,212118,369500,0924-00-01
978,1214518,778000,0924-00-00
3348,300410,162000,0924-00-03
2884,59828,611000,0924-00-02
1224,94681,136000,0924-00-00
2245,97370,792000,0924-00-01
1206,135050,32000,0924-00-00
1792,135945,502500,0924-00-00
1595,136104,310500,0924-00-00
833,152268,315400,0924-00-00
929,1213426,710000,0924-00-00
4062,700056,812600,0924-00-03
1179,106683,327500,0924-00-00
1660,94842,821000,0924-00-00
1498,1000101,376000,0924-00-01
2800,37205,118000,0924-00-01
3121,37780,380600,0924-00-01
1876,55402,340000,0924-00-00
1083,59013,420000,0924-00-00
2080,74812,562400,0924-00-01
1074,106998,364000,0924-00-00
1290,108512,710000,0924-00-00
1753,129652,402800,0924-00-00
1195,135647,315800,0924-00-00
1522,136177,312600,0924-00-01
1587,137207,740400,0924-00-00
1624,137710,302000,0924-00-01
2016,137839,736600,0924-00-01
1363,137911,256000,0924-00-01
2646,137920,506000,0924-00-02
1064,147031,112000,0924-00-00
1596,147592,246000,0924-00-01
1078,152241,301600,0924-00-00
1316,154481,539400,0924-00-00
1246,154502,161000,0924-00-01
2371,200182,47200,0924-00-02
3182,210027,859400,0924-00-00
1513,1214059,146400,0924-00-01
1545,1214315,440000,0924-00-01
1572,1214353,40000,0924-00-01
1102,152141,392000,0924-00-00
3029,37442,408100,0924-00-00
1303,151392,80000,0924-00-00
1288,212654,157200,0924-00-00
3762,95064,392000,0924-00-01
1206,144989,439000,0924-00-00
1823,300405,748600,0924-00-01
1555,55459,428000,0924-00-00
1255,154748,218000,0924-00-01
2918,300017,347800,0924-00-02
1482,1213672,37000,0924-00-01
2590,29789,480500,0924-00-00
1765,36697,150400,0924-00-00
1768,55481,530000,0924-00-00
1244,59849,124000,0924-00-01
1400,70687,398600,0924-00-00
1235,74443,382000,0924-00-00
2140,97019,581000,0924-00-00
1210,112268,350000,0924-00-00
1429,115082,629200,0924-00-00
1256,115149,490000,0924-00-00
1813,129868,749500,0924-00-00
458,137643,169200,0924-00-00
2050,160517,19500,0924-00-00
1785,200307,485000,0924-00-01
1485,97135,595000,0924-00-00
1461,145146,248400,0924-00-00
2099,1214666,919200,0924-00-01
879,74979,383200,0924-00-00
1270,108011,181000,0924-00-00
1786,212900,527500,0924-00-01
2056,152014,349000,0924-00-01
2757,300288,604400,0924-00-02
1485,95140,237000,0924-00-00
2875,1213584,40000,0924-00-02
3366,95100,681000,0924-00-01
5282,145324,485000,0924-00-01
2619,211973,629600,0924-00-01
1917,55021,91100,0924-00-00
3055,73170,631000,0924-00-00
814,36932,212700,0924-00-00
1614,106824,368000,0924-00-00
1552,129383,252000,0924-00-00
1950,129395,500000,0924-00-00
2062,147090,482800,0924-00-00
2145,200315,716000,0924-00-01
772,1000161,704000,0924-00-00
2682,1000189,682000,0924-00-02
1123,36585,292400,0924-00-00
2700,36703,180000,0924-00-00
1672,37620,447700,0924-00-00
4251,38416,267200,0924-00-02
1922,38836,315000,0924-00-01
1591,59497,476000,0924-00-00
3538,59865,342800,0924-00-03
1770,74351,62000,0924-00-01
3907,84082,334090,0924-00-00
1450,93770,484000,0924-00-00
1300,94726,260000,0924-00-00
1271,106511,118500,0924-00-00
1782,106605,182000,0924-00-00
1953,106711,251100,0924-00-00
1164,115198,607000,0924-00-00
2289,127841,350600,0924-00-00
1669,135281,91000,0924-00-00
971,137140,638600,0924-00-00
3294,137198,196000,0924-00-01
1512,144837,319100,0924-00-00
1553,145090,134000,0924-00-00
2196,145171,366000,0924-00-00
2460,145189,481600,0924-00-00
2376,145514,462000,0924-00-01
852,147136,312000,0924-00-00
1205,147252,573500,0924-00-00
1708,147255,658800,0924-00-00
1438,147331,926000,0924-00-00
1936,147731,655000,0924-00-01
850,151365,180000,0924-00-00
1078,154826,228500,0924-00-00
926,200355,780800,0924-00-00
2125,200860,125800,0924-00-02
1296,212081,655400,0924-00-00
1674,212967,488000,0924-00-01
1472,1214334,218000,0924-00-01
1756,106701,933800,0924-00-00
1750,1000258,700000,0924-00-01
1224,36560,703600,0924-00-00
2801,37249,639200,0924-00-01
2081,37368,473800,0924-00-00
1764,72756,115000,0924-00-00
1645,94341,486000,0924-00-00
982,97668,748000,0924-00-00
1354,134891,140000,0924-00-01
1908,135904,168000,0924-00-01
1340,137527,553000,0924-00-00
1577,152316,627200,0924-00-00
1864,154517,292000,0924-00-01
1185,300154,948000,0924-00-00
1680,500040,680000,0924-00-01
3028,108740,214000,0924-00-02
3600,74686,260000,0924-00-02
1962,95149,522800,0924-00-00
524,97986,524800,0924-00-00
850,136021,120000,0924-00-00
1960,137934,742000,0924-00-01
1766,210317,815000,0924-00-00
1530,97313,506000,0924-00-00
1428,154426,981000,0924-00-00
1717,1213184,943200,0924-00-00
1890,211096,630000,0924-00-00
2081,700118,989400,0924-00-01
1231,97118,662900,0924-00-00
1326,74388,593400,0924-00-00
1152,97567,752000,0924-00-00
2223,210607,631100,0924-00-00
2234,300290,32200,0924-00-02
2222,700049,969200,0924-00-01
1710,134510,240000,0924-00-00
1070,97064,450000,0924-00-00
2130,97789,802000,0924-00-01
1351,1214560,72800,0924-00-01
